S1	T1	source	target	value	LinkGroupID
BMPR1A	known	55	88	1	G_KS
TGFBR2	known	56	88	1	G_KS
AKR1C1	suggesting	24	87	1	G_KS
TUBB3	suggesting	57	87	1	G_KS
EPHA2	suggesting	58	87	1	G_KS
LDLR	suggesting	17	87	1	G_KS
PSMB8	suggesting	35	87	1	G_KS
DHCR7	known	37	88	1	G_KS
KCNH2	suggesting	59	87	1	G_KS
IL11RA	suggesting	60	87	1	G_KS
IL2RA	suggesting	61	87	1	G_KS
CHEK2	known	33	88	1	G_KS
DHCR7	known	37	88	1	G_KS
POLH	known	62	88	1	G_KS
DHCR7	known	37	88	1	G_KS
TP53	known	19	88	1	G_KS
CYP11B1	suggesting	20	87	1	G_KS
CYP11B1	suggesting	20	87	1	G_KS
POLE	known	47	88	1	G_KS
JAK3	suggesting	38	87	1	G_KS
RBP4	suggesting	63	87	1	G_KS
MYO3A	suggesting	43	87	1	G_KS
ALK	known	25	88	1	G_KS
CHEK2	known	33	88	1	G_KS
CHEK2	known	33	88	1	G_KS
AKR1C1	suggesting	24	87	1	G_KS
ERBB4	known	64	88	1	G_KS
ESRRB	suggesting	51	87	1	G_KS
CHEK2	known	33	88	1	G_KS
RECQL	known	45	88	1	G_KS
MERTK	suggesting	39	87	1	G_KS
ADA	suggesting	30	87	1	G_KS
VDR	suggesting	65	87	1	G_KS
RECQL	known	45	88	1	G_KS
ADA	suggesting	30	87	1	G_KS
MUSK	suggesting	66	87	1	G_KS
RIPK4	suggesting	67	87	1	G_KS
GNRHR	suggesting	18	87	1	G_KS
POLH	known	62	88	1	G_KS
IL12B	suggesting	68	87	1	G_KS
CHEK2	known	33	88	1	G_KS
MYLK	suggesting	69	87	1	G_KS
C5	suggesting	70	87	1	G_KS
CA12	suggesting	27	87	1	G_KS
EIF2AK4	suggesting	71	87	1	G_KS
ALK	known	25	88	1	G_KS
DHODH	suggesting	44	87	1	G_KS
BRCA1	known	28	88	1	G_KS
MC4R	suggesting	23	87	1	G_KS
CHEK2	known	33	88	1	G_KS
BLM	known	53	88	1	G_KS
CYP19A1	suggesting	72	87	1	G_KS
JAK3	suggesting	38	87	1	G_KS
EGFR	known	73	88	1	G_KS
CYP11B1	suggesting	20	87	1	G_KS
BRCA1	known	28	88	1	G_KS
CA12	suggesting	27	87	1	G_KS
ADA	suggesting	30	87	1	G_KS
MAP3K20	suggesting	54	87	1	G_KS
SLCO1B3	suggesting	74	87	1	G_KS
CHEK2	known	33	88	1	G_KS
TP53	known	19	88	1	G_KS
GLRA1	suggesting	16	87	1	G_KS
DHCR7	known	37	88	1	G_KS
ADA	suggesting	30	87	1	G_KS
CA12	suggesting	27	87	1	G_KS
MYO3A	suggesting	43	87	1	G_KS
JAK3	suggesting	38	87	1	G_KS
DHCR7	known	37	88	1	G_KS
MC4R	suggesting	23	87	1	G_KS
BMPR2	suggesting	75	87	1	G_KS
BRCA1	known	28	88	1	G_KS
IMPDH1	suggesting	76	87	1	G_KS
HBB	suggesting	77	87	1	G_KS
KIT	known	78	88	1	G_KS
CYP11B1	suggesting	20	87	1	G_KS
MC4R	suggesting	23	87	1	G_KS
BRCA1	known	28	88	1	G_KS
AR	known	31	88	1	G_KS
NTRK1	known	22	88	1	G_KS
NR1H4	suggesting	79	87	1	G_KS
ICAM1	suggesting	80	87	1	G_KS
DHCR7	known	37	88	1	G_KS
EPHX2	suggesting	81	87	1	G_KS
ERBB3	suggesting	82	87	1	G_KS
MAP3K20	suggesting	54	87	1	G_KS
HDAC10	suggesting	83	87	1	G_KS
CYP19A1	suggesting	72	87	1	G_KS
PNP	suggesting	84	87	1	G_KS
CA12	suggesting	27	87	1	G_KS
HBB	suggesting	77	87	1	G_KS
DHCR7	known	37	88	1	G_KS
MERTK	suggesting	39	87	1	G_KS
RXRG	suggesting	85	87	1	G_KS
ABCC2	suggesting	52	87	1	G_KS
CHEK2	known	33	88	1	G_KS
MERTK	suggesting	39	87	1	G_KS
CHEK2	known	33	88	1	G_KS
PDGFRA	known	86	88	1	G_KS
DHODH	suggesting	44	87	1	G_KS
MAP3K20	suggesting	54	87	1	G_KS
CYP11B1	suggesting	20	87	1	G_KS
KIT	known	78	88	1	G_KS
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Pathogenic	88	89	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Pathogenic	87	89	1	KS_IVAP
suggesting	Likely Pathogenic	87	90	1	KS_IVAP
known	Likely Pathogenic	88	90	1	KS_IVAP
